;Unnamed: 0;2023;2024;2025;2026;2027;TOTAL
0;;;;;;;
1;Temporary agents (AD Grades);;1636;1669;1702;1736;6742
2;Temporary agents (AST grades);;-;-;-;-;-
3;Contract staff;;0331;0338;0344;0351;1364
4;Seconded National Experts;;-;-;-;-;-
5;;;;;;;
6;TOTAL;;1967;2006;2046;2087;8106
