;Directive 2004/8/EC;This Directive
0;Article 1;Article 1(1)
1;Article 2;Article 1(1)
2;Article 3, point (a);Article 2, point (30)
3;Article 3, point (b);Article 2, point (32)
4;Article 3, point (c);Article 2, point (31)
5;Article 3, point (d);Article 2, point (33)
6;Article 3, points (e) and (f);—
7;Article 3, point (g);Article 2, point (35)
8;Article 3, point (h);—
9;Article 3, point (i);Article 2, point (34)
10;Article 3, point (j);—
11;Article 3, point (k);Article 2, point (36)
12;Article 3, point (l);Article 2, point (37)
13;Article 3, point (m);Article 2, point (39)
14;Article 3, point (n);Article 2, point (38)
15;Article 3, point (o);—
16;—;Article 2, points (40), (41), (42), (43), and (44)
17;Article 4(1);Annex II, point (f), first subpoint
18;Article 4(2);Article 14(10), second subparagraph
19;Article 4(3);—
20;Article 5;Article 14(10), first subparagraph and Annex X
21;Article 6;Article 14(1) and (3), Annex VIII and IX
22;Article 7(1);Article 14(11)
23;Article 7(2) and (3);—
24;Article 8;Article 15(5)
25;—;Article 15(6), (7), (8) and (9)
26;Article 9;—
27;Article 10(1) and (2);Article 14(1) and 24(2), Annex XIV, Part 2
28;Article 10(3);Article 24(6)
29;Article 11;Article 24(3)
30;—;Article 24(5)
31;Article 12(1) and (3);—
32;Article 12(2);Annex II, point (c)
33;Article 13;Article 22(2)
34;Article 14;—
35;Article 15;Article 28
36;Article 16;—
37;Article 17;Article 29
38;Article 18;Article 30
39;Annex I;Annex I, Part II
40;Annex II;Annex I, Part I and Part II, last subparagraph
41;Annex III;Annex II
42;Annex IV;Annex VIII
43;—;Annex IX
